TenureMonths,Contract,MonthlyCharges,TechSupport,OnlineSecurity,Churn
38,Month-to-month,62.93,No,Yes,Yes
25,Month-to-month,70.72,No,No,Yes
32,Month-to-month,116.86,Yes,No,Yes
58,Month-to-month,40.01,No,Yes,No
40,Month-to-month,101.02,No,No,No
45,One year,103.54,No,No,No
20,Month-to-month,51.03,No,No,No
33,Month-to-month,39.33,Yes,Yes,No
60,Month-to-month,89.08,No,Yes,No
55,Two year,30.01,No,No,No
37,Two year,67.8,Yes,Yes,Yes
48,Month-to-month,76.16,Yes,No,Yes
16,Month-to-month,95.85,Yes,No,No
11,Month-to-month,81.26,No,No,No
36,Month-to-month,49.92,No,No,Yes
60,Month-to-month,105.47,Yes,Yes,No
2,Month-to-month,103.64,No,No,Yes
12,Month-to-month,94.52,Yes,Yes,Yes
7,Month-to-month,42.79,Yes,No,No
21,Month-to-month,39.75,No,No,Yes
57,Month-to-month,59.58,No,No,No
41,One year,72.03,No,No,No
2,Month-to-month,29.72,Yes,No,Yes
55,Two year,79.72,No,Yes,No
52,Month-to-month,50.51,Yes,No,No
5,Month-to-month,98.42,Yes,No,Yes
30,Month-to-month,54.58,No,Yes,Yes
52,Month-to-month,41.02,Yes,No,Yes
29,Month-to-month,56.89,No,Yes,Yes
1,Month-to-month,99.96,No,No,No
41,Two year,55.36,Yes,No,No
26,Month-to-month,73.7,No,No,Yes
38,Month-to-month,51.44,Yes,No,Yes
12,Month-to-month,69.48,No,No,Yes
61,Month-to-month,26.98,Yes,No,Yes
4,Month-to-month,27.72,Yes,Yes,No
19,Month-to-month,63.06,No,Yes,Yes
64,Two year,73.17,No,No,No
22,Month-to-month,74.88,No,No,No
23,Month-to-month,33.71,Yes,Yes,Yes
64,Month-to-month,79.64,Yes,No,No
18,Month-to-month,81.96,Yes,No,Yes
26,Two year,60.48,No,No,No
69,Month-to-month,54.05,Yes,Yes,No
36,Two year,92.58,No,Yes,Yes
25,Month-to-month,67.6,Yes,No,No
19,One year,82.88,Yes,No,No
47,Month-to-month,58.35,No,No,Yes
33,Month-to-month,40.12,No,Yes,No
57,Month-to-month,45.36,Yes,No,Yes
8,Two year,51.0,No,No,No
56,Month-to-month,60.46,Yes,No,No
59,One year,87.26,No,Yes,Yes
20,Two year,69.98,Yes,No,No
53,Month-to-month,103.86,No,No,Yes
28,Month-to-month,46.88,Yes,No,Yes
67,Month-to-month,81.33,No,No,Yes
71,Month-to-month,40.93,Yes,No,No
71,Month-to-month,96.0,No,No,No
35,Month-to-month,56.69,Yes,No,No
46,Month-to-month,25.98,No,No,No
48,Two year,76.2,Yes,No,No
31,One year,74.61,No,No,No
28,One year,83.39,Yes,Yes,No
3,Month-to-month,36.61,No,Yes,Yes
24,Month-to-month,92.14,No,No,No
64,One year,76.88,No,No,No
54,Two year,100.71,Yes,Yes,No
32,Month-to-month,62.87,Yes,No,Yes
57,Month-to-month,34.35,No,No,No
66,Month-to-month,82.56,No,No,Yes
48,One year,112.93,No,No,No
26,Month-to-month,40.54,No,No,Yes
53,One year,57.07,Yes,No,No
13,Two year,116.9,No,No,No
57,One year,64.21,No,Yes,No
1,One year,83.53,No,No,No
3,Two year,91.62,No,Yes,No
71,Two year,100.78,Yes,No,No
20,Month-to-month,85.93,No,No,No
61,Two year,59.94,No,No,No
69,One year,57.48,No,Yes,No
39,One year,90.67,No,Yes,No
39,Month-to-month,71.6,No,No,Yes
43,Month-to-month,94.05,Yes,Yes,No
62,Month-to-month,52.11,Yes,Yes,No
5,Month-to-month,33.57,Yes,Yes,Yes
28,Two year,87.02,No,No,No
40,Month-to-month,119.94,No,No,No
24,Month-to-month,71.31,Yes,No,No
63,One year,65.02,No,No,No
1,One year,45.06,Yes,No,No
10,Two year,34.29,No,No,No
29,Month-to-month,46.81,No,No,No
2,Month-to-month,99.1,No,No,Yes
53,Month-to-month,87.97,No,Yes,No
58,Month-to-month,27.25,Yes,No,No
69,Month-to-month,98.73,No,No,No
45,Month-to-month,50.41,No,Yes,No
26,Two year,52.4,Yes,Yes,No
8,One year,118.95,Yes,No,No
37,Month-to-month,111.88,No,No,Yes
64,Month-to-month,37.6,No,No,No
65,Month-to-month,100.79,Yes,No,No
40,Month-to-month,80.03,Yes,No,Yes
71,One year,35.4,No,No,No
53,Two year,82.43,No,Yes,No
11,Month-to-month,96.03,No,No,No
64,Month-to-month,62.86,No,No,No
71,One year,76.37,No,No,No
34,One year,82.67,Yes,No,No
63,Two year,25.1,Yes,No,No
5,One year,52.2,No,No,No
25,Two year,37.98,No,No,No
68,Month-to-month,119.72,Yes,No,No
63,Month-to-month,32.18,Yes,No,Yes
12,Month-to-month,30.21,Yes,Yes,Yes
36,Month-to-month,57.79,No,Yes,No
33,Two year,30.65,No,No,No
30,Month-to-month,92.11,No,No,No
29,One year,113.14,No,Yes,No
57,Two year,28.28,No,No,No
40,Month-to-month,106.38,No,No,Yes
62,Month-to-month,57.38,Yes,No,No
63,One year,66.83,No,No,No
45,One year,91.37,Yes,No,No
71,One year,105.86,No,No,No
6,One year,47.06,Yes,No,No
65,Month-to-month,76.31,No,No,No
20,Month-to-month,61.9,Yes,No,No
22,Month-to-month,81.01,No,No,No
4,Month-to-month,32.86,Yes,No,No
23,Month-to-month,41.71,Yes,Yes,No
68,Month-to-month,114.7,No,Yes,Yes
32,Month-to-month,81.85,No,Yes,No
27,Two year,26.45,No,Yes,No
39,One year,67.65,Yes,No,No
43,Month-to-month,105.53,Yes,No,No
10,Month-to-month,53.28,Yes,No,No
29,Month-to-month,77.78,Yes,Yes,No
67,Month-to-month,69.45,No,No,Yes
37,Month-to-month,116.1,No,No,No
45,Month-to-month,88.72,No,No,No
32,Two year,112.76,Yes,No,No
71,One year,61.1,No,No,No
34,Month-to-month,48.51,Yes,No,No
56,One year,59.2,No,No,No
39,One year,73.59,No,Yes,Yes
10,One year,38.98,Yes,No,No
41,Month-to-month,83.39,Yes,No,Yes
47,One year,48.21,Yes,Yes,No
67,Month-to-month,62.11,Yes,No,No
1,One year,26.42,No,Yes,Yes
43,Month-to-month,75.27,No,No,No
