SquareMeters,Bedrooms,Bathrooms,Location,Price
201,3,2,Suburban,1400200000
205,3,2,Pusat Kota,2492500000
242,3,2,Pinggiran,2101600000
222,2,2,Suburban,1555300000
439,3,3,Pinggiran,250000000
185,4,2,Pinggiran,1711900000
335,2,3,Pusat Kota,250000000
409,2,2,Pinggiran,250000000
388,3,1,Pinggiran,250000000
153,3,2,Pinggiran,1494900000
224,4,1,Suburban,1564000000
254,4,1,Pinggiran,2257100000
424,2,2,Suburban,250000000
279,4,2,Pinggiran,2509400000
375,2,4,Pusat Kota,250000000
303,2,1,Suburban,250000000
235,3,2,Pusat Kota,2819700000
212,2,2,Pusat Kota,2553100000
301,3,2,Suburban,250000000
207,3,2,Pinggiran,1860600000
380,3,3,Pinggiran,250000000
412,3,3,Suburban,250000000
80,4,2,Pusat Kota,1085200000
430,2,3,Suburban,250000000
314,3,2,Pinggiran,250000000
381,3,3,Pusat Kota,250000000
337,3,3,Pinggiran,250000000
188,3,3,Pusat Kota,2349100000
229,4,1,Pinggiran,2055900000
413,2,4,Pinggiran,250000000
284,2,2,Pinggiran,2409200000
75,2,3,Pinggiran,825800000
85,3,1,Suburban,714100000
60,2,1,Pinggiran,599800000
328,2,2,Pusat Kota,250000000
116,2,1,Pinggiran,1071000000
325,1,2,Pusat Kota,250000000
242,4,2,Suburban,1737500000
146,1,2,Pusat Kota,1763200000
400,4,2,Pusat Kota,250000000
272,4,2,Pinggiran,2443800000
135,1,2,Pusat Kota,1618000000
297,2,2,Pusat Kota,250000000
191,3,2,Pusat Kota,2366800000
133,2,2,Pinggiran,1293100000
154,5,2,Pinggiran,1524000000
443,2,2,Suburban,250000000
422,4,2,Suburban,250000000
395,3,3,Pinggiran,250000000
249,4,3,Pusat Kota,3103300000
258,4,2,Pinggiran,2307600000
267,3,2,Pusat Kota,3208100000
83,3,1,Pusat Kota,1161800000
362,4,2,Suburban,250000000
227,2,3,Pinggiran,1985200000
335,2,1,Pusat Kota,250000000
73,3,1,Pinggiran,730100000
110,2,3,Pusat Kota,1466700000
415,2,3,Suburban,250000000
148,2,3,Suburban,1064600000
307,3,2,Pinggiran,250000000
104,1,4,Suburban,791800000
171,3,2,Suburban,1202200000
378,2,1,Pinggiran,250000000
329,2,2,Suburban,250000000
349,3,2,Pinggiran,250000000
275,3,3,Pinggiran,2414000000
369,5,2,Pinggiran,250000000
227,2,1,Pusat Kota,2700400000
374,2,1,Pusat Kota,250000000
433,3,2,Suburban,250000000
89,1,2,Pinggiran,852900000
442,4,2,Pinggiran,250000000
428,3,4,Pusat Kota,250000000
375,2,2,Pusat Kota,250000000
193,3,1,Pusat Kota,2345000000
428,5,1,Suburban,250000000
144,3,1,Pusat Kota,1797800000
393,3,1,Pinggiran,250000000
301,2,3,Pinggiran,250000000
344,5,3,Pinggiran,250000000
318,2,2,Pinggiran,250000000
168,1,3,Pusat Kota,1996900000
321,3,2,Pinggiran,250000000
187,5,2,Pinggiran,1842600000
245,3,2,Pinggiran,2232100000
388,3,3,Pusat Kota,250000000
155,2,3,Pusat Kota,1955500000
85,3,1,Suburban,637500000
323,3,3,Pinggiran,250000000
433,3,1,Pinggiran,250000000
328,2,2,Pinggiran,250000000
215,4,2,Pusat Kota,2645300000
246,1,3,Pinggiran,2139400000
198,4,2,Pinggiran,1792300000
345,3,2,Pinggiran,250000000
438,4,1,Suburban,250000000
375,2,3,Pusat Kota,250000000
346,2,1,Pinggiran,250000000
362,2,2,Pinggiran,250000000
273,1,1,Pusat Kota,3217800000
317,3,2,Pinggiran,250000000
159,3,2,Pinggiran,1537200000
299,2,2,Pinggiran,250000000
235,3,1,Pusat Kota,2827800000
267,3,3,Pinggiran,2404300000
426,5,2,Pinggiran,250000000
86,2,2,Pusat Kota,1176000000
143,4,1,Pusat Kota,1849700000
435,2,2,Pusat Kota,250000000
95,3,2,Pinggiran,965900000
411,3,2,Pinggiran,250000000
355,5,2,Suburban,250000000
325,3,2,Suburban,250000000
115,1,4,Pinggiran,1115500000
153,2,3,Pusat Kota,1936100000
144,1,4,Suburban,991400000
120,3,2,Pinggiran,1209800000
378,3,2,Pusat Kota,250000000
172,2,2,Pinggiran,1565300000
72,4,4,Pusat Kota,1077800000
122,3,2,Pinggiran,1094100000
397,3,4,Pinggiran,250000000
299,3,1,Pinggiran,250000000
437,4,3,Pinggiran,250000000
335,3,3,Pusat Kota,250000000
302,4,2,Suburban,250000000
223,2,2,Suburban,1500300000
427,1,3,Pinggiran,250000000
338,4,2,Pinggiran,250000000
108,5,2,Pinggiran,1090900000
190,3,3,Pinggiran,1838000000
222,3,3,Suburban,1566900000
403,1,2,Pusat Kota,250000000
416,2,2,Pusat Kota,250000000
349,1,4,Suburban,250000000
277,3,1,Pusat Kota,3338600000
133,3,4,Pinggiran,1284800000
447,1,2,Pinggiran,250000000
398,2,3,Pinggiran,250000000
373,4,1,Pusat Kota,250000000
105,5,2,Pusat Kota,1542900000
296,2,1,Suburban,250000000
204,4,2,Pusat Kota,2547200000
93,2,2,Pusat Kota,1205200000
405,1,2,Pusat Kota,250000000
406,3,1,Pusat Kota,250000000
311,4,1,Pinggiran,250000000
248,2,1,Pusat Kota,2907500000
77,2,3,Pusat Kota,1153900000
131,3,1,Pinggiran,1191000000
335,3,2,Pusat Kota,250000000
67,2,2,Pinggiran,692400000
172,1,1,Pinggiran,1453300000
257,4,2,Pusat Kota,3136400000
394,3,3,Pinggiran,250000000
376,3,3,Pinggiran,250000000
252,2,1,Pinggiran,2219400000
228,2,3,Pusat Kota,2734200000
208,1,2,Pinggiran,1862400000
368,4,2,Suburban,250000000
236,2,2,Pusat Kota,2824700000
299,3,1,Pinggiran,250000000
164,3,2,Pinggiran,1540800000
437,2,1,Suburban,250000000
177,2,2,Pinggiran,1596400000
394,4,2,Suburban,250000000
126,2,4,Suburban,960700000
104,3,3,Pinggiran,1051000000
88,2,3,Suburban,681900000
323,3,1,Suburban,250000000
69,2,3,Pinggiran,692100000
408,2,3,Suburban,250000000
268,3,2,Suburban,1788100000
241,3,3,Pinggiran,2149600000
280,4,3,Pusat Kota,3480900000
99,5,2,Suburban,774300000
375,3,3,Pusat Kota,250000000
144,3,2,Pinggiran,1339400000
380,3,2,Pinggiran,250000000
270,2,2,Pinggiran,2252700000
439,3,1,Pinggiran,250000000
338,1,2,Suburban,250000000
321,2,1,Pusat Kota,250000000
163,4,2,Pinggiran,1488200000
389,3,1,Suburban,250000000
259,3,1,Suburban,1765000000
134,2,2,Pusat Kota,1587100000
100,4,2,Pinggiran,1035200000
153,2,1,Pinggiran,1329000000
443,2,2,Pinggiran,250000000
321,4,2,Suburban,250000000
369,3,4,Pinggiran,250000000
424,3,2,Pusat Kota,250000000
137,3,2,Pinggiran,1330500000
153,3,3,Suburban,1074100000
338,3,2,Pusat Kota,250000000
439,2,2,Pinggiran,250000000
440,2,2,Pinggiran,250000000
216,1,1,Pinggiran,1891000000
414,1,2,Pusat Kota,250000000
378,3,2,Pinggiran,250000000
444,3,3,Pusat Kota,250000000
296,2,2,Pusat Kota,250000000
373,4,2,Pusat Kota,250000000
302,5,2,Suburban,250000000
199,2,1,Pinggiran,1686500000
89,2,3,Pusat Kota,1229200000
161,2,2,Pinggiran,1477700000
276,2,2,Pinggiran,2369800000
255,1,2,Pusat Kota,3039600000
433,3,2,Pinggiran,250000000
400,2,3,Suburban,250000000
69,2,1,Pinggiran,660500000
411,4,2,Pinggiran,250000000
421,2,2,Pinggiran,250000000
360,3,2,Pinggiran,250000000
79,4,2,Pinggiran,828800000
259,3,1,Pusat Kota,3101700000
102,2,2,Pinggiran,950900000
344,2,4,Pinggiran,250000000
88,3,1,Pinggiran,814900000
186,5,2,Pusat Kota,2393900000
266,2,2,Pinggiran,2342500000
82,3,2,Pusat Kota,1144900000
205,3,2,Pinggiran,1911800000
99,4,1,Pinggiran,978300000
118,3,2,Pusat Kota,1532100000
94,4,2,Suburban,740200000
383,4,2,Suburban,250000000
192,3,2,Pinggiran,1703700000
433,1,3,Pusat Kota,250000000
185,3,1,Pinggiran,1669200000
265,3,3,Pinggiran,2394400000
235,2,2,Suburban,1600100000
66,3,2,Suburban,486900000
266,2,4,Pinggiran,2358300000
206,4,1,Pinggiran,1831800000
390,3,3,Pinggiran,250000000
342,2,2,Suburban,250000000
123,4,2,Suburban,965700000
121,2,1,Pinggiran,1085600000
74,3,1,Pusat Kota,1037800000
83,2,3,Suburban,571800000
66,2,1,Pusat Kota,866100000
435,1,2,Pinggiran,250000000
105,3,2,Pusat Kota,1386000000
364,3,2,Pusat Kota,250000000
174,1,2,Pinggiran,1445600000
214,2,1,Pinggiran,1829800000
