YearsExperience,Education,Age,Salary
10.6,Bachelor,32,33020000
11.6,Bachelor,34,35420000
1.1,Master,24,24290000
3.8,Bachelor,26,17200000
13.9,Master,34,57290000
16.8,Bachelor,42,47340000
6.5,Bachelor,33,20160000
17.9,Bachelor,42,49600000
14.6,Bachelor,38,44290000
4.2,Bachelor,26,15430000
11.3,PhD,35,67960000
7.4,Master,32,40520000
4.0,Bachelor,27,19260000
15.8,Bachelor,38,45480000
19.3,Bachelor,37,50740000
5.0,Master,28,36530000
2.1,Master,28,26300000
12.3,Bachelor,35,36560000
14.7,Master,35,59910000
5.9,Master,27,35230000
13.9,Bachelor,34,39140000
10.6,Master,29,46970000
1.4,Master,27,25370000
3.2,Bachelor,27,13410000
4.1,Master,28,33990000
19.9,PhD,38,86290000
10.7,Bachelor,35,31570000
11.8,Bachelor,36,33430000
14.8,Bachelor,40,45880000
11.1,Master,32,51360000
18.3,Bachelor,39,51300000
16.3,Bachelor,42,45410000
8.4,Bachelor,33,24310000
7.5,Bachelor,30,26930000
19.1,Bachelor,44,54690000
7.2,PhD,34,56970000
17.4,Master,41,63930000
16.7,Bachelor,41,49570000
11.0,Master,36,48540000
18.5,PhD,43,82450000
2.4,Master,25,25620000
2.5,Bachelor,26,12650000
14.2,Master,33,54430000
17.9,Bachelor,38,51540000
3.6,Bachelor,32,13560000
5.9,Bachelor,28,20020000
13.6,Bachelor,33,39180000
3.7,Master,29,29750000
14.2,PhD,41,74280000
10.0,Bachelor,30,28990000
13.8,Bachelor,37,39480000
10.7,Bachelor,33,30640000
1.3,Bachelor,24,8460000
4.9,Bachelor,26,16710000
11.7,Bachelor,33,35440000
2.8,Bachelor,25,13660000
10.3,Master,34,49650000
3.2,Bachelor,26,13260000
1.5,Bachelor,25,11760000
4.0,Master,27,30160000
9.1,Master,32,42710000
17.6,Master,39,65930000
19.0,Master,40,70020000
9.8,Bachelor,32,32140000
9.5,Bachelor,32,30520000
12.9,Master,33,53470000
6.8,Bachelor,28,25660000
2.8,Bachelor,28,12260000
1.5,Bachelor,23,8450000
12.9,Bachelor,36,37280000
16.3,Bachelor,36,44790000
13.6,Master,39,53970000
13.2,Master,39,56390000
8.8,Master,32,40540000
13.3,Master,37,56880000
4.6,Master,29,30150000
13.4,Bachelor,36,41100000
10.8,Master,32,43860000
15.1,Bachelor,40,46370000
2.3,Bachelor,24,10700000
15.8,Master,40,60790000
13.9,Bachelor,39,40620000
14.1,Bachelor,35,40720000
10.2,Bachelor,33,33820000
19.5,Bachelor,43,56360000
4.5,Bachelor,23,17160000
6.3,Bachelor,28,22460000
4.9,Bachelor,28,19680000
1.4,Bachelor,22,9040000
18.1,PhD,43,84540000
2.1,Bachelor,28,12850000
12.3,Master,38,50850000
12.8,Master,40,51260000
7.9,PhD,30,58260000
0.8,Master,26,21650000
16.9,Bachelor,41,48900000
8.0,Bachelor,29,25580000
11.3,Master,32,50770000
14.4,Bachelor,37,43380000
13.7,Bachelor,33,43430000
14.0,Master,37,57890000
7.2,Bachelor,30,24810000
8.5,Bachelor,37,26330000
5.2,Bachelor,29,17470000
19.4,Bachelor,45,55300000
6.1,Bachelor,30,23240000
3.4,PhD,25,47840000
3.0,Bachelor,24,13310000
18.9,Master,41,67410000
7.4,Bachelor,30,26250000
14.8,Master,40,58390000
18.3,Master,44,64070000
14.2,Master,36,58830000
8.1,Bachelor,31,22910000
18.9,Bachelor,40,52080000
14.9,Bachelor,38,42640000
5.2,Bachelor,29,19910000
16.6,Bachelor,38,46690000
15.3,Master,39,58210000
8.2,PhD,30,58450000
4.4,Bachelor,30,18730000
14.4,Bachelor,38,41500000
17.0,Master,39,66680000
7.7,Bachelor,34,25660000
9.0,Master,28,42750000
7.5,Master,30,39110000
5.2,Master,31,33000000
13.2,Master,39,55000000
8.1,Bachelor,33,25820000
13.3,Bachelor,36,39010000
7.6,Bachelor,33,24050000
7.5,PhD,32,59490000
4.3,Bachelor,29,13880000
