Pclass,Sex,Age,SibSp,Fare,Embarked,Survived
2,male,,0,24.74,Cherbourg,0
3,male,18.7,1,10.79,Cherbourg,0
3,male,27.6,0,26.49,Southampton,0
3,male,15.5,0,7.92,Cherbourg,0
1,female,21.8,1,51.66,Cherbourg,0
1,female,13.4,4,66.12,Southampton,0
1,male,54.5,1,13.1,Southampton,0
3,male,29.5,0,16.34,Southampton,0
3,female,19.9,0,8.29,Southampton,0
3,male,31.8,0,28.86,Southampton,0
1,male,27.5,1,98.9,Southampton,0
3,male,26.1,0,8.97,Southampton,0
3,male,37.0,0,8.68,Southampton,0
1,female,38.8,1,29.17,Southampton,1
1,female,22.1,0,25.82,Cherbourg,1
1,female,21.5,0,34.29,Queenstown,0
2,male,25.4,1,167.64,Southampton,1
3,male,1.0,0,17.68,Queenstown,0
2,male,9.3,0,33.22,Southampton,0
2,male,46.8,1,21.17,Southampton,1
3,male,,0,12.07,Southampton,1
1,female,,1,43.07,Southampton,1
2,female,36.5,0,10.65,Cherbourg,0
2,male,33.0,1,20.69,Cherbourg,0
3,female,69.0,1,34.27,Southampton,0
3,female,43.6,0,14.53,Southampton,0
1,male,27.3,1,298.4,Southampton,1
3,male,16.6,1,19.47,Southampton,0
3,male,8.1,0,18.25,Southampton,0
1,male,31.6,0,167.57,Southampton,0
3,male,19.2,1,10.75,Cherbourg,0
1,female,10.5,1,109.54,Queenstown,1
1,male,20.6,1,36.24,Southampton,0
3,male,14.9,2,13.32,Queenstown,0
3,male,50.9,2,15.53,Southampton,0
3,male,40.5,0,20.17,Southampton,0
2,female,28.9,0,16.37,Southampton,0
1,female,48.2,1,29.3,Southampton,1
3,male,30.0,1,23.83,Queenstown,0
2,male,17.8,0,21.54,Southampton,0
1,male,48.8,0,18.94,Southampton,0
3,male,36.0,1,8.38,Southampton,0
1,male,15.5,0,32.99,Southampton,1
3,male,26.5,0,12.89,Cherbourg,0
2,male,17.6,0,22.82,Southampton,0
3,male,11.0,0,8.06,Southampton,0
2,male,41.0,0,11.08,Southampton,1
3,male,53.8,1,11.39,Southampton,0
3,male,10.8,0,50.21,Southampton,0
1,male,36.3,0,47.56,Southampton,1
3,male,,0,15.39,Southampton,0
3,female,22.7,0,10.12,Cherbourg,0
3,female,,0,18.82,Cherbourg,1
3,male,17.8,0,11.45,Cherbourg,0
3,male,29.6,0,10.28,Southampton,0
3,female,18.2,1,16.22,Southampton,0
1,male,32.5,1,34.99,Southampton,1
1,male,28.3,0,11.74,Cherbourg,0
1,female,25.9,0,9.07,Southampton,1
2,male,17.2,0,9.29,Southampton,0
2,male,21.5,1,8.97,Southampton,0
2,female,38.8,0,15.79,Southampton,1
3,male,35.5,1,26.97,Southampton,0
2,male,16.3,0,14.59,Southampton,0
2,female,30.3,0,66.68,Cherbourg,1
3,male,,0,11.67,Southampton,0
1,female,7.3,0,42.24,Southampton,1
3,female,36.1,0,13.57,Southampton,1
1,male,20.4,0,68.94,Southampton,0
3,male,36.4,0,19.02,Southampton,0
3,male,19.1,0,8.95,Cherbourg,0
1,male,5.5,0,70.52,Southampton,1
1,male,7.8,0,17.39,Cherbourg,1
3,female,29.6,0,32.38,Southampton,1
3,male,,1,15.66,Southampton,0
3,male,17.2,0,22.04,Cherbourg,0
3,female,37.3,0,66.73,Southampton,1
1,male,7.4,0,323.82,Southampton,0
2,female,28.1,1,18.17,Southampton,0
1,male,13.3,0,78.75,Southampton,0
3,male,20.5,1,14.07,Cherbourg,0
3,female,29.6,0,13.85,Southampton,1
2,male,17.8,2,90.19,Cherbourg,0
1,female,24.0,1,15.26,Cherbourg,1
2,female,42.1,1,76.55,Southampton,0
2,female,21.5,1,8.84,Queenstown,1
3,male,39.9,1,28.33,Southampton,0
3,male,14.3,1,44.73,Queenstown,0
3,female,35.9,1,28.16,Southampton,0
3,female,47.7,0,7.52,Southampton,0
1,female,1.0,0,108.41,Southampton,1
3,male,18.6,0,8.13,Southampton,0
3,male,36.5,1,11.07,Southampton,0
3,female,26.4,1,8.24,Cherbourg,0
3,male,33.8,0,18.61,Southampton,0
3,female,21.1,1,21.42,Southampton,0
3,female,30.1,0,8.96,Cherbourg,0
2,male,27.0,0,18.25,Southampton,1
1,female,44.2,1,43.35,Queenstown,1
1,female,32.3,3,20.49,Cherbourg,1
1,male,33.4,1,35.01,Queenstown,0
3,female,23.6,0,14.01,Cherbourg,1
2,male,22.7,0,55.03,Southampton,0
3,female,23.4,0,8.38,Southampton,0
3,male,34.1,2,8.5,Cherbourg,0
2,female,23.5,0,10.55,Southampton,0
2,male,32.8,0,56.68,Southampton,0
3,male,56.0,0,20.75,Southampton,0
1,female,40.3,1,8.66,Queenstown,1
1,male,24.8,1,25.55,Southampton,0
2,male,44.6,0,27.11,Southampton,0
1,female,23.7,1,16.35,Southampton,0
3,female,2.5,2,19.63,Southampton,0
3,male,15.9,0,36.84,Southampton,0
3,male,4.7,0,18.88,Southampton,0
3,male,24.4,1,32.33,Southampton,0
3,male,29.2,1,22.95,Cherbourg,0
1,male,50.8,1,104.53,Southampton,0
3,female,33.3,2,35.43,Cherbourg,0
3,female,26.2,0,8.33,Cherbourg,0
3,female,39.8,1,16.66,Southampton,1
3,female,1.0,1,9.34,Southampton,0
2,male,32.1,0,9.11,Southampton,1
1,male,39.0,1,119.11,Cherbourg,1
1,male,9.8,0,13.69,Southampton,1
2,male,43.9,0,22.87,Southampton,0
3,male,33.4,0,17.83,Southampton,0
3,female,23.6,0,8.04,Southampton,0
1,male,37.2,0,87.72,Southampton,0
3,male,,1,17.31,Southampton,0
2,male,31.4,1,12.0,Cherbourg,0
1,female,,1,37.6,Southampton,1
1,male,23.0,1,44.41,Southampton,1
2,male,18.0,0,25.82,Southampton,1
3,male,39.8,0,21.65,Cherbourg,0
2,female,17.9,0,60.06,Southampton,0
3,male,29.9,0,20.91,Cherbourg,0
3,female,22.8,0,11.37,Southampton,1
2,female,,1,14.32,Southampton,0
3,male,33.3,0,26.17,Southampton,1
3,male,42.5,1,14.6,Southampton,0
2,female,22.4,0,44.46,Southampton,0
3,male,25.5,0,28.24,Southampton,0
2,male,16.3,0,9.19,Cherbourg,0
2,female,23.2,1,23.09,Southampton,0
1,female,33.9,0,68.33,Southampton,1
3,female,38.8,2,12.11,Southampton,0
3,female,17.0,1,17.97,Southampton,0
1,male,40.3,0,68.25,Southampton,1
2,male,46.6,0,34.23,Southampton,0
3,female,34.4,0,22.17,Southampton,0
1,male,53.4,0,51.34,Southampton,0
1,male,18.9,1,17.26,Southampton,1
3,female,12.8,0,9.69,Southampton,0
3,male,5.9,0,14.26,Southampton,0
2,male,48.4,1,26.02,Southampton,0
3,male,37.5,0,34.0,Queenstown,0
3,male,28.3,0,12.59,Southampton,0
1,male,32.6,0,83.1,Southampton,1
3,male,14.4,2,7.81,Southampton,0
2,male,60.8,2,47.48,Cherbourg,0
3,female,30.7,0,19.66,Cherbourg,0
3,female,30.4,0,12.5,Southampton,0
3,male,,0,8.39,Queenstown,0
1,female,35.3,1,33.65,Southampton,1
3,male,31.9,0,11.97,Southampton,0
2,male,18.7,0,46.91,Cherbourg,0
1,female,35.1,1,96.91,Cherbourg,1
1,male,53.5,2,72.47,Southampton,0
3,female,46.5,1,10.45,Southampton,1
3,male,49.7,1,60.61,Southampton,0
1,female,22.4,1,13.71,Southampton,1
3,male,16.1,2,21.49,Cherbourg,0
1,female,27.4,1,94.23,Southampton,1
3,male,29.7,0,15.48,Southampton,0
1,female,43.2,0,8.77,Southampton,1
3,male,7.0,2,15.95,Southampton,0
2,male,48.9,0,11.62,Southampton,0
3,female,26.9,1,13.32,Southampton,0
1,male,23.5,1,95.48,Queenstown,1
2,male,15.8,2,9.68,Cherbourg,1
1,female,7.5,1,36.37,Southampton,1
3,male,39.7,2,9.59,Cherbourg,0
3,male,30.0,2,7.78,Cherbourg,0
2,male,12.2,0,92.88,Cherbourg,0
3,female,12.2,1,14.86,Southampton,1
3,male,24.6,2,11.6,Southampton,0
3,male,50.7,1,35.14,Southampton,0
3,female,,0,8.98,Southampton,0
2,female,9.5,0,12.04,Southampton,1
1,male,,0,103.68,Southampton,0
3,male,25.5,0,33.81,Southampton,0
3,male,1.0,0,18.58,Cherbourg,0
3,male,28.3,1,28.53,Southampton,0
2,male,26.0,0,28.01,Southampton,0
2,male,38.1,0,26.24,Queenstown,1
3,male,53.0,0,46.47,Queenstown,0
3,male,43.6,0,13.42,Cherbourg,0
3,female,25.5,0,13.34,Queenstown,1
3,female,14.6,0,12.49,Southampton,0
3,female,62.5,1,16.86,Queenstown,1
1,male,29.8,0,22.76,Southampton,0
1,male,29.2,0,35.43,Southampton,1
3,female,28.7,1,16.86,Southampton,0
3,female,31.6,0,24.72,Southampton,1
1,male,27.1,0,64.45,Southampton,1
1,female,21.5,0,179.46,Southampton,1
3,female,21.9,0,11.82,Cherbourg,0
1,female,28.6,0,15.27,Southampton,1
1,female,21.9,0,20.7,Southampton,1
3,male,19.7,0,8.21,Cherbourg,0
3,male,30.4,1,12.53,Southampton,0
3,female,25.7,1,11.28,Southampton,1
1,female,48.6,1,109.05,Southampton,1
3,male,1.0,0,17.29,Southampton,0
1,male,43.2,0,119.95,Southampton,1
2,male,45.2,1,10.15,Queenstown,0
3,female,2.0,0,9.3,Southampton,0
3,female,24.5,1,14.54,Southampton,0
3,male,24.2,1,19.31,Cherbourg,0
3,male,10.7,0,15.55,Cherbourg,0
3,male,18.9,0,13.67,Southampton,0
1,female,14.6,0,97.39,Southampton,1
2,female,51.8,0,31.75,Southampton,1
2,female,41.2,0,18.36,Southampton,1
2,male,45.5,1,53.54,Southampton,0
3,male,38.4,0,19.13,Southampton,0
2,male,14.3,1,104.21,Queenstown,0
3,male,22.2,0,13.53,Southampton,1
3,female,35.4,0,7.98,Southampton,0
3,female,13.1,0,15.24,Southampton,1
3,female,38.3,0,16.9,Southampton,0
3,female,25.9,1,10.6,Southampton,0
